Date,Rate
21-Aug-13,63.28
22-Aug-13,64.73
23-Aug-13,64.22
24-Aug-13,64.22
25-Aug-13,63.20
26-Aug-13,63.20
27-Aug-13,64.2
28-Aug-13,67.01
29-Aug-13,67.35
30-Aug-13,67.41
31-Aug-13,66.68
02-Sep-13,65.70
03-Sep-13,66.51
04-Sep-13,68.45
05-Sep-13,66.28
06-Sep-13,66.25
07-Sep-13,65.24
08-Sep-13,65.24
09-Sep-13,65.24
10-Sep-13,64.10
11-Sep-13,63.63
12-Sep-13,63.38
13-Sep-13,63.54
14-Sep-13,63.27
15-Sep-13,63.38
16-Sep-13,63.38
17-Sep-13,62.95
18-Sep-13,63.06
19-Sep-13,63.58
20-Sep-13,62.34
21-Sep-13,62.72
22-Sep-13,62.23
23-Sep-13,62.23
24-Sep-13,62.62
25-Sep-13,62.7
26-Sep-13,62.22
27-Sep-13,61.80
28-Sep-13,63.07
29-Sep-13,62.51
30-Sep-13,62.51
01-Oct-13,62.59
02-Oct-13,62.59
03-Oct-13,62.07
04-Oct-13,61.96
05-Oct-13,61.38
06-Oct-13,61.43
07-Oct-13,61.43
08-Oct-13,61.6
09-Oct-13,61.95
10-Oct-13,61.9
11-Oct-13,61.24
12-Oct-13,60.99
13-Oct-13,61.02
14-Oct-13,61.02
15-Oct-13,61.43
16-Oct-13,61.82
17-Oct-13,61.45
18-Oct-13,61.10
19-Oct-13,61.24
20-Oct-13,61.24
21-Oct-13,61.24
22-Oct-13,60.62
23-Oct-13,61.19
24-Oct-13,61.54
25-Oct-13,61.44
26-Oct-13,61.43
27-Oct-13,61.46
28-Oct-13,61.46
29-Oct-13,61.55
30-Oct-13,61.47
31-Oct-13,61.11
01-Nov-13,61.69
02-Nov-13,62.29
03-Nov-13,61.75
04-Nov-13,61.75
05-Nov-13,62.05
06-Nov-13,62.17
07-Nov-13,62.48
08-Nov-13,62.76
09-Nov-13,63.47
10-Nov-13,62.48
11-Nov-13,62.48
12-Nov-13,63.46
13-Nov-13,63.91
14-Nov-13,63.30
15-Nov-13,63.12
16-Nov-13,62.82
17-Nov-13,62.98
18-Nov-13,62.98
19-Nov-13,62.12
20-Nov-13,62.2
21-Nov-13,62.29
22-Nov-13,62.95
23-Nov-13,62.61
24-Nov-13,62.73
25-Nov-13,62.73
26-Nov-13,62.37
27-Nov-13,62.47
28-Nov-13,62.48
29-Nov-13,62.33
30-Nov-13,62.42
01-Dec-13,62.39
02-Dec-13,62.39
03-Dec-13,62.29
04-Dec-13,62.41
05-Dec-13,61.82
06-Dec-13,61.56
07-Dec-13,61.13
08-Dec-13,61.43
09-Dec-13,61.43
10-Dec-13,60.85
11-Dec-13,61.06
12-Dec-13,61.42
13-Dec-13,62.16
14-Dec-13,62.17
15-Dec-13,62.19
16-Dec-13,62.19
17-Dec-13,61.79
18-Dec-13,61.76
19-Dec-13,62.03
20-Dec-13,62.35
21-Dec-13,62.01
22-Dec-13,62.00
23-Dec-13,62.00
24-Dec-13,61.72
25-Dec-13,61.8
26-Dec-13,61.8
27-Dec-13,61.94
28-Dec-13,61.94
29-Dec-13,61.94
30-Dec-13,61.94
31-Dec-13,61.8
01-Jan-14,61.84
02-Jan-14,61.86
03-Jan-14,62.3
04-Jan-14,62.33
05-Jan-14,62.19
06-Jan-14,62.19
07-Jan-14,62.24
08-Jan-14,62.18
09-Jan-14,62.07
10-Jan-14,62.07
11-Jan-14,61.48
12-Jan-14,61.90
13-Jan-14,61.90
14-Jan-14,61.42
15-Jan-14,61.46
16-Jan-14,61.54
17-Jan-14,61.41
18-Jan-14,61.6
19-Jan-14,61.54
20-Jan-14,61.54
21-Jan-14,61.54
22-Jan-14,61.97
23-Jan-14,61.83
24-Jan-14,62.06
25-Jan-14,62.76
26-Jan-14,62.69
27-Jan-14,62.69
28-Jan-14,63.37
29-Jan-14,62.75
30-Jan-14,62.88
31-Jan-14,62.62
01-Feb-14,62.69
02-Feb-14,62.68
03-Feb-14,62.68
04-Feb-14,62.66
05-Feb-14,62.32
06-Feb-14,62.5
07-Feb-14,62.14
08-Feb-14,62.11
09-Feb-14,62.30
10-Feb-14,62.30
11-Feb-14,62.35
12-Feb-14,62.14
13-Feb-14,61.85
14-Feb-14,62.21
15-Feb-14,61.85
16-Feb-14,61.85
17-Feb-14,61.85
18-Feb-14,61.78
19-Feb-14,62.17
20-Feb-14,62.21
21-Feb-14,62.22
22-Feb-14,62.00
23-Feb-14,62.14
24-Feb-14,62.14
25-Feb-14,61.92
26-Feb-14,61.82
27-Feb-14,62.15
28-Feb-14,61.97
01-Mar-14,61.84
02-Mar-14,61.79
03-Mar-14,61.79
04-Mar-14,62.2
05-Mar-14,61.94
06-Mar-14,61.44
07-Mar-14,60.86
08-Mar-14,61.23
09-Mar-14,61.08
10-Mar-14,61.08
11-Mar-14,61.03
12-Mar-14,61.06
13-Mar-14,61
14-Mar-14,61.35
15-Mar-14,61.26
16-Mar-14,61.20
17-Mar-14,61.20
18-Mar-14,61.05
19-Mar-14,60.97
20-Mar-14,60.96
21-Mar-14,61.12
22-Mar-14,60.84
23-Mar-14,60.90
24-Mar-14,60.90
25-Mar-14,60.67
26-Mar-14,60.27
27-Mar-14,60
28-Mar-14,60.17
29-Mar-14,59.89
30-Mar-14,59.89
31-Mar-14,59.89
01-Apr-14,59.94
02-Apr-14,59.83
03-Apr-14,59.83
04-Apr-14,60.33
05-Apr-14,59.89
06-Apr-14,60.08
07-Apr-14,60.08
08-Apr-14,60.17
09-Apr-14,60.09
10-Apr-14,60.11
11-Apr-14,60.34
12-Apr-14,60.22
13-Apr-14,60.20
14-Apr-14,60.18
15-Apr-14,60.27
16-Apr-14,60.42
17-Apr-14,60.27
18-Apr-14,60.30
19-Apr-14,60.28
20-Apr-14,60.29
21-Apr-14,60.29
22-Apr-14,60.5
23-Apr-14,60.86
24-Apr-14,61.14
25-Apr-14,61.12
26-Apr-14,60.65
27-Apr-14,60.64
28-Apr-14,60.64
29-Apr-14,60.68
30-Apr-14,60.18
01-May-14,60.28
02-May-14,60.27
03-May-14,60
04-May-14,60.08
05-May-14,60.18
06-May-14,60.12
07-May-14,59.87
08-May-14,59.90
09-May-14,59.93
10-May-14,59.85
11-May-14,59.96
12-May-14,59.96
13-May-14,59.57
14-May-14,59.46
15-May-14,59.44
16-May-14,59.49
17-May-14,58.6
18-May-14,58.58
19-May-14,58.58
20-May-14,58.47
21-May-14,58.64
22-May-14,58.66
23-May-14,58.35
24-May-14,58.41
25-May-14,58.52
26-May-14,58.52
27-May-14,58.66
28-May-14,58.96
29-May-14,58.94
30-May-14,58.94
